"genes","logFC","logCPM","LR","PValue","FDR"
"ENSDARG00000097610",0.863133500664468,3.50289886589768,35.8567091759487,2.12375448791256e-09,5.49041916282362e-07
"ENSDARG00000070426",1.08734747928058,7.98738672043319,35.6952279274059,2.30728506544932e-09,5.91717098744872e-07
"ENSDARG00000094511",2.99680672378603,0.846300130703234,35.1449205604405,3.06058676680715e-09,7.78676428440768e-07
"ENSDARG00000078093",2.28303652626711,1.61135119132937,34.9744936532434,3.34052655243139e-09,8.43206769222781e-07
"ENSDARG00000087440",3.40981518193397,1.41311175125693,34.7410669672608,3.76602806162731e-09,9.43184074778021e-07
"ENSDARG00000095245",2.20316019300154,1.14866586585439,34.3975690229076,4.49284097153296e-09,1.11648839553823e-06
"ENSDARG00000073820",1.89368439744818,1.37882349743197,34.3120168557203,4.69473991011931e-09,1.1576867484515e-06
"ENSDARG00000076673",-0.620607148745118,5.93759606466818,33.9159618166429,5.75446565042542e-09,1.40817485004342e-06
"ENSDARG00000076269",2.09066839400762,0.670448288638779,33.7679803857633,6.20924840290112e-09,1.50795360645304e-06
"ENSDARG00000100826",0.60137307434973,7.45945393056132,33.5329357767272,7.00674006800575e-09,1.68883508541399e-06
"ENSDARG00000103720",0.690449651847044,6.43297702153168,33.4480679675607,7.31924492064696e-09,1.75099279418791e-06
"ENSDARG00000094433",1.43776573561243,3.38008799139463,32.8815939752695,9.79462398152332e-09,2.3258241553755e-06
"ENSDARG00000069988",0.915121704990309,3.77160764067235,32.7799986338988,1.03201279293535e-08,2.4325907428771e-06
"ENSDARG00000104540",-1.38605736398181,4.35203034874647,32.6918916268607,1.07986756687415e-08,2.52681128403538e-06
"ENSDARG00000077407",0.826577727736636,3.18408449038314,32.1725436323783,1.41070282100387e-08,3.27702176325515e-06
"ENSDARG00000087178",0.904096638765975,2.48896080362786,31.8349788301319,1.67842684640523e-08,3.87088700828865e-06
"ENSDARG00000089441",-0.595803740660089,6.81911925471055,31.7774101078513,1.72891964091741e-08,3.95885549492068e-06
"ENSDARG00000096445",0.752899225025573,5.20670015086587,31.7329847563449,1.7689223624495e-08,4.0217265370953e-06
"ENSDARG00000019808",-0.699364827562271,6.55320987633288,31.12704444412,2.41680597439529e-08,5.45602458599929e-06
"ENSDARG00000117300",2.13742334548556,1.12006120481605,30.7919667457771,2.8722442841031e-08,6.43884860248203e-06
"ENSDARG00000055118",1.03778910005675,4.8671862876927,30.5773945972644,3.20809893534964e-08,7.14180747017386e-06
"ENSDARG00000023151",0.69029485793522,9.20430200166974,30.180365325231,3.93674875619411e-08,8.68513589024792e-06
"ENSDARG00000038025",0.770007657626204,4.41642282448799,30.1711263093821,3.95554743106403e-08,8.68513589024792e-06
"ENSDARG00000011245",-0.623230166815867,5.88114707804986,30.0449445357095,4.22147643761489e-08,9.20597756194697e-06
"ENSDARG00000097205",0.694098273109737,5.82191107387615,30.0188220705148,4.27872909432942e-08,9.26778503898095e-06
"ENSDARG00000041602",0.74120393142454,4.38019774881023,29.5790124510611,5.3683068807865e-08,1.15497861528438e-05
"ENSDARG00000055276",0.874225737782936,3.55479002881822,29.5608260734312,5.41891339462225e-08,1.15809404460937e-05
"ENSDARG00000094929",0.988829613370376,5.60942933344409,29.4801684685082,5.64917978068379e-08,1.19930964390318e-05
"ENSDARG00000077473",0.583305791937283,5.98150117889878,29.3459316741188,6.05434884364211e-08,1.2768701373726e-05
"ENSDARG00000005481",0.908724674169507,4.77376489363236,29.3239771770578,6.12333131818666e-08,1.28297798736673e-05
"ENSDARG00000068006",-0.643207738167762,5.50717023671185,29.2744968838769,6.28170301209657e-08,1.30761398349857e-05
"ENSDARG00000016188",0.689082303603382,4.18045061086284,29.2539839270063,6.34855628636583e-08,1.31300431530342e-05
"ENSDARG00000022261",0.523129316204037,7.1696816982483,29.191154387327,6.55779094427535e-08,1.34758400192715e-05
"ENSDARG00000075666",0.607879962954081,6.62840679152928,29.1205720100177,6.80109665772743e-08,1.38867997169916e-05
"ENSDARG00000102048",0.735778132328079,5.05154969188702,29.0432115769052,7.07816958823099e-08,1.43610685120203e-05
"ENSDARG00000055388",-0.636467116575999,5.29700723732133,29.0025542416016,7.22829277475523e-08,1.45734202188886e-05
"ENSDARG00000078619",-0.767682706779094,6.37252397390721,28.8227677230484,7.93132535423714e-08,1.58909060550488e-05
"ENSDARG00000038489",0.74925909704845,3.76308593624964,28.7853924628659,8.08586771646406e-08,1.60564253268369e-05
"ENSDARG00000079011",-0.5765605245341,5.01812615559334,28.7786391461679,8.11411205960501e-08,1.60564253268369e-05
"ENSDARG00000069381",6.19004676177249,2.1353369942089,28.6353130143455,8.73741734593419e-08,1.71837661262952e-05
"ENSDARG00000058042",-1.18158458671779,1.25502907579824,28.2380801779127,1.0727320128659e-07,2.09686403270988e-05
"ENSDARG00000090903",0.843030526010923,3.35421645040255,28.1114587089398,1.14525767970695e-07,2.22506214777973e-05
"ENSDARG00000020239",0.724675659179306,7.17699393289898,28.0687940482472,1.17078568766508e-07,2.26095643310117e-05
"ENSDARG00000053761",1.11169512697273,3.8048320902698,27.9344585583416,1.2549486640954e-07,2.40897540867701e-05
"ENSDARG00000037012",0.564299641848257,6.66745850952816,27.6778563772617,1.43293634889842e-07,2.73426431765694e-05
"ENSDARG00000038321",6.43191407473843,1.67225592981385,27.6441888493946,1.45809445558946e-07,2.76580674336281e-05
"ENSDARG00000056654",2.11954085530081,0.111443475900099,27.5092528949568,1.56344729688055e-07,2.94820176447647e-05
"ENSDARG00000097826",-0.902936578438588,4.06954751993277,27.4293841362667,1.62936581033935e-07,3.05453682935957e-05
"ENSDARG00000060196",0.694040230209538,3.93047377718129,27.1062801667872,1.92571329216129e-07,3.57620661333551e-05
"ENSDARG00000058206",1.30577879418317,5.78998537874952,27.0913333090114,1.94066032047702e-07,3.57620661333551e-05
"ENSDARG00000117407",1.39174327040473,3.83907670449945,27.0908906497469,1.94110475315962e-07,3.57620661333551e-05
"ENSDARG00000029230",0.651488664499501,6.76583920508611,27.0586293212088,1.97377148228019e-07,3.61561099471177e-05
"ENSDARG00000094696",1.5239308743548,-0.200728320486186,26.920361588469,2.12013481865543e-07,3.86165692509302e-05
"ENSDARG00000099525",-0.819872268167937,3.69550596045419,26.6880527369557,2.39095314973034e-07,4.33032684298901e-05
"ENSDARG00000087120",-1.02731203061366,1.31796387997948,26.6077006493656,2.4924831874618e-07,4.48885019890241e-05
"ENSDARG00000091906",1.27537620543873,3.15261985440688,26.4629474280209,2.68641811752185e-07,4.81108969795519e-05
"ENSDARG00000101160",0.882991346848937,2.99492431852515,26.4046018418567,2.76880041192436e-07,4.93107971139218e-05
"ENSDARG00000007823",0.973088405696925,2.92595015023089,26.3587618863649,2.83529768756841e-07,5.02149661540282e-05
"ENSDARG00000033170",0.899225828204105,4.9134196086218,26.3481638761127,2.85089803788038e-07,5.02149661540282e-05
"ENSDARG00000097445",-0.601458523850988,4.5376238799894,26.294435213363,2.93132079676697e-07,5.13493720119994e-05
"ENSDARG00000099185",0.582840968755884,10.0188220138178,26.1774334364652,3.11440902486443e-07,5.42601141902603e-05
