gene_id	f1.expected_count	f2.expected_count	f3.expected_count	f4.expected_count	f5.expected_count	f6.expected_count
ENSDARG00000002830	244.00	232.00	193.00	313.00	272.00	229.00
ENSDARG00000002831	127.23	148.64	119.85	156.92	114.09	118.72
ENSDARG00000002840	1080.00	1789.00	1119.00	1622.00	1109.00	1470.00
ENSDARG00000002847	152.00	153.00	140.00	187.00	155.00	196.00
ENSDARG00000002872	253.00	301.00	204.00	316.00	301.00	309.00
ENSDARG00000002877	736.00	826.00	668.00	1169.00	867.00	819.00
ENSDARG00000002880	350.78	525.44	338.29	580.49	344.50	462.25
ENSDARG00000002894	495.87	475.35	364.86	556.71	632.52	509.62
ENSDARG00000002897	314.00	342.00	317.00	458.00	311.00	333.00
ENSDARG00000002909	1059.00	1077.00	835.00	1320.00	1328.00	1174.00
ENSDARG00000002912	1180.00	1457.00	1020.00	1610.00	1319.00	1446.00
ENSDARG00000002916	530.00	686.00	446.00	736.00	434.00	648.00
ENSDARG00000002917	349.36	345.29	268.46	519.69	437.55	380.38
ENSDARG00000002933	193.00	254.00	232.00	318.00	221.00	249.00
ENSDARG00000002937	1013.00	914.00	782.00	1262.00	1169.00	1155.00
ENSDARG00000002945	383.00	389.00	302.00	501.00	348.00	427.00
ENSDARG00000002947	330.00	325.00	244.00	414.00	327.00	386.00
ENSDARG00000002949	1684.00	1796.00	1353.00	2180.00	1955.00	1897.00
ENSDARG00000002952	1053.00	1183.00	868.00	1279.00	1109.00	1296.00
ENSDARG00000002956	78.00	101.00	70.00	109.00	62.00	95.00
ENSDARG00000002959	3.00	2.00	1.00	1.00	5.00	3.00
ENSDARG00000002967	918.00	936.44	838.00	1242.47	1203.47	1161.00
ENSDARG00000002968	988.00	1042.00	833.00	1709.00	858.00	1279.00
ENSDARG00000002970	1601.00	1968.00	1518.00	2105.00	1618.00	1901.00
ENSDARG00000002971	351.00	398.00	281.00	450.00	358.00	436.00
ENSDARG00000002986	931.00	844.00	931.00	1640.00	1556.00	1037.00
ENSDARG00000002988	4542.00	3918.00	3255.00	4880.00	5483.00	4932.00
ENSDARG00000002991	216.00	197.00	156.00	218.00	185.00	235.00
ENSDARG00000002994	995.00	1254.00	885.00	1307.00	1022.00	1180.00
ENSDARG00000003008	776.00	1363.00	909.00	1370.00	921.00	1142.00
ENSDARG00000003017	1043.00	1092.00	944.00	1461.00	1520.00	1181.00
ENSDARG00000003020	145.00	263.00	155.00	256.00	137.00	198.00
ENSDARG00000003021	294.00	351.00	265.00	386.00	292.00	354.00
ENSDARG00000003022	256.00	230.00	185.00	292.00	280.00	275.00
ENSDARG00000003027	151.00	155.00	118.00	186.00	190.00	178.00
ENSDARG00000003032	20324.00	20024.00	16163.00	24482.00	25074.00	22530.00
ENSDARG00000003035	3862.00	4456.00	3258.00	5352.00	4050.00	4701.00
ENSDARG00000003041	47.00	65.00	38.00	89.00	20.00	81.00
ENSDARG00000003046	142.00	251.00	137.00	269.00	94.00	190.00
ENSDARG00000003054	33.00	27.00	20.00	46.00	34.00	31.00
ENSDARG00000003058	450.00	511.00	423.00	601.00	563.00	565.00
ENSDARG00000003061	440.08	437.69	258.56	444.73	416.02	495.72
ENSDARG00000003068	1043.00	1229.00	874.00	1353.00	1184.00	1306.00
ENSDARG00000003069	202.00	252.00	151.00	279.00	110.00	266.00
ENSDARG00000003077	296.00	294.00	339.00	399.00	273.00	249.00
ENSDARG00000003081	30060.00	28415.00	24332.00	41725.00	37541.00	32871.00
ENSDARG00000003084	93.00	152.00	84.00	138.00	74.00	114.00
ENSDARG00000003085	257.00	309.00	248.00	331.00	268.00	287.00
ENSDARG00000003087	821.00	980.00	745.00	1216.00	990.00	972.00
ENSDARG00000003090	0.00	0.00	0.00	0.00	0.00	0.00
ENSDARG00000003091	1139.00	1172.00	958.00	1612.00	2010.00	1252.00
ENSDARG00000003098	3426.00	4458.00	3081.00	4820.00	3628.00	4105.00
ENSDARG00000003109	946.00	1109.00	859.00	1301.00	1107.00	1148.00
ENSDARG00000003113	6699.00	6827.00	6232.00	10364.00	9291.00	8056.00
